Data;Número;Histórico;Débito;Crédito
02/05/2019;914;COMPRA DE MERCADORIA CONF. NF.  427192 FOR. VALMIR CAVALCANTE  DANTAS ME ;;272,33
07/05/2019;914;COMPRA DE MERCADORIA CONF. NF.  427968 FOR. VALMIR CAVALCANTE  DANTAS ME ;;301,22
17/05/2019;914;COMPRA DE MERCADORIA CONF. NF.  429793 FOR. VALMIR CAVALCANTE  DANTAS ME ;;604,44
24/05/2019;914;COMPRA DE MERCADORIA CONF. NF.  431013 FOR. VALMIR CAVALCANTE  DANTAS ME ;;212,52
31/05/2019;914;COMPRA DE MERCADORIA CONF. NF.  432234 FOR. VALMIR CAVALCANTE  DANTAS ME ;;434,04
04/06/2019;914;COMPRA DE MERCADORIA CONF. NF.  433023 FOR. VALMIR CAVALCANTE  DANTAS ME ;;260,72
07/06/2019;914;COMPRA DE MERCADORIA CONF. NF.  433496 FOR. VALMIR CAVALCANTE  DANTAS ME ;;133,21
14/06/2019;914;COMPRA DE MERCADORIA CONF. NF.  434788 FOR. VALMIR CAVALCANTE  DANTAS ME ;;625,71
20/06/2019;914;COMPRA DE MERCADORIA CONF. NF.  435936 FOR. VALMIR CAVALCANTE  DANTAS ME ;;127,51
26/06/2019;914;COMPRA DE MERCADORIA CONF. NF.  437025 FOR. VALMIR CAVALCANTE  DANTAS ME ;;399,63
03/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  438290 FOR. VALMIR CAVALCANTE  DANTAS ME ;;340,03
09/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  439372 FOR. VALMIR CAVALCANTE  DANTAS ME ;;506,64
12/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  440002 FOR. VALMIR CAVALCANTE  DANTAS ME ;;133,21
20/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  441299 FOR. VALMIR CAVALCANTE  DANTAS ME ;;388,24
26/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  442762 FOR. VALMIR CAVALCANTE  DANTAS ME ;;335,84
31/07/2019;914;COMPRA DE MERCADORIA CONF. NF.  443596 FOR. VALMIR CAVALCANTE  DANTAS ME ;;404,13
08/08/2019;914;COMPRA DE MERCADORIA CONF. NF.  444681 FOR. VALMIR CAVALCANTE  DANTAS ME ;;368,82
13/08/2019;914;COMPRA DE MERCADORIA CONF. NF.  446089 FOR. VALMIR CAVALCANTE  DANTAS ME ;;303,20
23/08/2019;914;COMPRA DE MERCADORIA CONF. NF.  447943 FOR. VALMIR CAVALCANTE  DANTAS ME ;;387,62
27/08/2019;914;COMPRA DE MERCADORIA CONF. NF.  448634 FOR. VALMIR CAVALCANTE  DANTAS ME ;;311,22
30/08/2019;914;COMPRA DE MERCADORIA CONF. NF.  449133 FOR. VALMIR CAVALCANTE  DANTAS ME ;;127,51
05/09/2019;914;COMPRA DE MERCADORIA CONF. NF.  450381 FOR. VALMIR CAVALCANTE  DANTAS ME ;;564,73
11/09/2019;914;COMPRA DE MERCADORIA CONF. NF.  451483 FOR. VALMIR CAVALCANTE  DANTAS ME ;;425,04
18/09/2019;914;COMPRA DE MERCADORIA CONF. NF.  452825 FOR. VALMIR CAVALCANTE  DANTAS ME ;;192,80
25/09/2019;914;COMPRA DE MERCADORIA CONF. NF.  454508 FOR. VALMIR CAVALCANTE  DANTAS ME ;;448,73
04/10/2018;916;COMPRA DE MERCADORIA CONF. NF.  119758 FOR. TRES CORACOES ALIMENTOS  SA ;;7.600,00
09/10/2018;916;COMPRA DE MERCADORIA CONF. NF.  120374 FOR. TRES CORACOES ALIMENTOS  SA ;;23.550,00
09/10/2018;916;COMPRA DE MERCADORIA CONF. NF.  120375 FOR. TRES CORACOES ALIMENTOS  SA ;;4.714,62
24/10/2018;916;COMPRA DE MERCADORIA CONF. NF.  122164 FOR. TRES CORACOES ALIMENTOS  SA ;;15.390,20
31/10/2018;916;COMPRA DE MERCADORIA CONF. NF.  122700 FOR. TRES CORACOES ALIMENTOS  SA ;;207,50
06/11/2018;916;COMPRA DE MERCADORIA CONF. NF.  123776 FOR. TRES CORACOES ALIMENTOS  SA ;;990,60
13/11/2018;916;COMPRA DE MERCADORIA CONF. NF.  124650 FOR. TRES CORACOES ALIMENTOS  SA ;;25.350,00
13/11/2018;916;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 124651 FOR. TRES  CORACOES ALIMENTOS SA ;;315,13
13/11/2018;916;COMPRA DE MERCADORIA CONF. NF.  124654 FOR. TRES CORACOES ALIMENTOS  SA ;;4.250,00
13/11/2018;916;COMPRA DE MERCADORIA CONF. NF.  124655 FOR. TRES CORACOES ALIMENTOS  SA ;;25.159,00
06/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  127273 FOR. TRES CORACOES ALIMENTOS  SA ;;1.430,96
12/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  127929 FOR. TRES CORACOES ALIMENTOS  SA ;;205,96
19/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  128491 FOR. TRES CORACOES ALIMENTOS  SA ;;904,20
19/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  128514 FOR. TRES CORACOES ALIMENTOS  SA ;;626,50
26/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  129451 FOR. TRES CORACOES ALIMENTOS  SA ;;18.531,84
26/12/2018;916;COMPRA DE MERCADORIA CONF. NF.  129636 FOR. TRES CORACOES ALIMENTOS  SA ;;1.063,25
16/01/2019;916;COMPRA DE MERCADORIA CONF. NF.  131233 FOR. TRES CORACOES ALIMENTOS  SA ;;699,08
29/01/2019;916;COMPRA DE MERCADORIA CONF. NF.  132678 FOR. TRES CORACOES ALIMENTOS  SA ;;460,70
29/01/2019;916;COMPRA DE MERCADORIA CONF. NF.  133156 FOR. TRES CORACOES ALIMENTOS  SA ;;17.866,50
14/02/2019;916;COMPRA DE MERCADORIA CONF. NF.  134403 FOR. TRES CORACOES ALIMENTOS  SA ;;2.188,48
20/02/2019;916;COMPRA DE MERCADORIA CONF. NF.  134961 FOR. TRES CORACOES ALIMENTOS  SA ;;227,56
20/02/2019;916;COMPRA DE MERCADORIA CONF. NF.  135105 FOR. TRES CORACOES ALIMENTOS  SA ;;5.700,00
26/02/2019;916;COMPRA DE MERCADORIA CONF. NF.  135781 FOR. TRES CORACOES ALIMENTOS  SA ;;22.248,18
26/02/2019;916;COMPRA DE MERCADORIA CONF. NF.  136046 FOR. TRES CORACOES ALIMENTOS  SA ;;612,00
