Data;Histórico;Débito;Crédito;Histórico separado
19/02/2019;AQUISIÇÃO DE IMOBILIZADO CONF. NF.  956 FOR. FORTE MIX COMERCIO E  SERVIAOS DO BRASIL ;;4992.5;956
09/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1078 FOR. FORT MIX  COMERCIO E SERVICO DO BRASIL LT ;;1743.6;1078
30/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1114 FOR. FORT MIX  COMERCIO E SERVICO DO BRASIL LT ;;1361.82;1114
21/02/2019;COMPRA DE MERCADORIA CONF. NF. 562  FOR. MAXISSO INDUSTRIA E COMERCIO  LTDA ;;4813.2;562
26/04/2019;COMPRA DE MERCADORIA CONF. NF. 600  FOR. MAXISSO INDUSTRIA E COMERCIO  LTDA ;;3920.0;600
26/04/2019;COMPRA DE MERCADORIA CONF. NF. 603  FOR. MAXISSO INDUSTRIA E COMERCIO  LTDA ;;1108.8;603
26/04/2019;COMPRA DE MERCADORIA CONF. NF. 604  FOR. MAXISSO INDUSTRIA E COMERCIO  LTDA ;;760.0;604
20/06/2019;COMPRA DE MERCADORIA CONF. NF. 641  FOR. MAXISSO INDUSTRIA E COMERCIO  LTDA ;;2705.48;641
12/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1564 FOR. SATIRO &  LACERDA LTDA ME ;;322.0;1564
28/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1637 FOR. SATIRO &  LACERDA LTDA ME ;;267.0;1637
09/04/2019;"COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1680 FOR. SATIRO  &AMP; LACERDA LTDA ME ";;247.0;1680
29/05/2019;"COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 1720 FOR. SATIRO  &AMP; LACERDA LTDA ME ";;247.0;1720
30/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 328950 FOR. ACO  BRAZIL COMERCIO LTDA ME ;;3580.96;328950
28/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 333739 FOR. ACO  BRAZIL COMERCIO LTDA ME ;;1542.01;333739
03/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 344109 FOR. ACO  BRAZIL COMERCIO LTDA ME ;;427.79;344109
12/04/2019;COMPRA DE MERCADORIA CONF. NF.  3471 FOR. INDUSTRIA DE TEMPERO PILAO  LTDA ;;1417.4;3471
26/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 3147 FOR.  JAGUARDIESEL JAGUARIBE DIESEL LTDA ;;1980.0;3147
04/06/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 3280 FOR.  JAGUARDIESEL JAGUARIBE DIESEL LTDA ;;1980.0;3280
08/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 453 FOR. ALLYSON  CARLOS DA SILVA LUCENA ;;300.0;453
03/01/2019;COMPRA DE MERCADORIA CONF. NF.  52160 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5250.0;52160
09/01/2019;COMPRA DE MERCADORIA CONF. NF.  52207 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;5710.0;52207
15/01/2019;COMPRA DE MERCADORIA CONF. NF.  52267 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;3810.0;52267
22/01/2019;COMPRA DE MERCADORIA CONF. NF.  52346 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6500.0;52346
29/01/2019;COMPRA DE MERCADORIA CONF. NF.  52427 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7350.0;52427
05/02/2019;COMPRA DE MERCADORIA CONF. NF.  52533 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6460.0;52533
12/02/2019;COMPRA DE MERCADORIA CONF. NF.  52595 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6100.0;52595
19/02/2019;COMPRA DE MERCADORIA CONF. NF.  52667 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;2850.0;52667
26/02/2019;COMPRA DE MERCADORIA CONF. NF.  52742 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7275.0;52742
06/03/2019;COMPRA DE MERCADORIA CONF. NF.  52868 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;6570.0;52868
